	T0.C1	T0.C2	T0.C3	T0.T1	T0.T2	T0.T3	T3.C1	T3.C2	T3.C3	T3.T1	T3.T2	T3.T3	T5.C1	T5.C2	T5.C3	T5.T1	T5.T2	T5.T3	T7.C1	T7.C2	T7.C3	T7.T1	T7.T2	T7.T3
16S_ASV_1022	1	0	0	0	1	1	2	8	6	9	3	12	9	12	0	0	0	3	0	5	1	4	5	1
16S_ASV_1023	0	11	0	15	1	26	0	3	1	0	0	1	1	9	9	0	1	0	1	0	1	0	1	2
16S_ASV_1024	0	0	1	1	0	0	1	0	1	0	0	11	6	0	0	16	12	24	0	0	1	0	3	6
16S_ASV_1025	0	0	0	0	0	0	1	1	0	4	25	10	1	0	0	9	10	6	0	0	0	0	15	1
16S_ASV_1026	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	2	1	1	0	0	0	5	28	39
16S_ASV_1027	0	0	0	0	0	0	0	0	0	1	29	0	0	0	0	1	0	0	3	0	0	9	2	38
16S_ASV_1028	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	1	0	0	1	28	24	22
16S_ASV_1029	1	0	0	0	2	0	0	1	0	6	36	6	9	5	0	1	1	10	1	0	2	0	1	0
16S_ASV_1030	0	0	2	0	3	0	0	0	0	4	4	4	0	1	0	1	7	3	14	12	2	12	11	2
16S_ASV_1031	0	0	0	3	0	0	0	0	1	5	15	5	4	0	4	6	9	1	0	0	0	4	20	5
16S_ASV_1032	0	0	0	2	0	0	0	2	1	0	30	0	2	11	9	1	0	0	0	1	21	1	1	0
16S_ASV_1033	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	58	0	0	1	0	0	12	5	2
16S_ASV_1034	0	0	0	0	3	0	24	22	31	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1035	0	0	0	0	0	0	4	9	22	3	0	1	0	0	12	19	1	7	0	1	0	0	3	0
16S_ASV_1036	0	0	0	0	0	0	0	0	3	2	0	70	0	0	0	0	0	4	0	0	0	1	0	2
16S_ASV_1037	0	0	0	0	0	0	0	0	0	5	5	0	3	0	0	0	2	0	2	0	0	14	27	24
16S_ASV_1038	8	8	0	4	14	39	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0
16S_ASV_1039	2	0	48	0	0	0	1	0	0	0	0	1	1	5	3	0	0	0	17	0	3	0	0	0
16S_ASV_1040	0	0	0	1	0	0	0	1	1	0	0	3	3	0	0	2	10	0	16	17	4	9	9	5
16S_ASV_1041	0	0	0	1	0	0	4	5	4	4	6	5	0	0	0	4	17	19	3	0	3	1	0	5
16S_ASV_1042	0	0	0	0	1	0	0	12	65	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
16S_ASV_1043	0	0	0	0	0	1	1	3	6	4	1	4	0	0	0	12	35	9	0	1	1	1	2	0
16S_ASV_1044	0	0	0	0	0	0	1	0	0	7	2	65	0	0	0	0	0	0	0	0	0	0	2	4
16S_ASV_1045	0	0	0	0	0	0	1	0	1	7	4	3	1	5	0	9	6	3	3	2	6	8	16	6
16S_ASV_1046	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	47	29
16S_ASV_1047	0	0	0	0	0	0	0	0	0	2	9	2	0	0	0	7	20	0	0	1	0	21	16	3
16S_ASV_1048	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	22	44	9
16S_ASV_1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	0	36	23	5
16S_ASV_1050	1	0	0	0	0	0	0	0	0	8	8	0	0	0	0	5	0	6	0	0	0	14	37	1
16S_ASV_1051	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	44	28	1	0	1	0	2	0	2
16S_ASV_1052	0	0	0	1	0	0	2	7	4	6	6	24	0	0	0	7	9	10	0	0	0	1	3	0
16S_ASV_1053	0	0	0	0	1	4	0	3	6	21	6	5	1	0	0	3	20	9	1	0	0	0	0	0
16S_ASV_1054	0	0	0	0	0	16	0	7	13	5	0	0	0	0	0	0	19	12	0	0	0	2	0	6
16S_ASV_1055	0	0	0	0	0	1	3	6	14	1	2	2	0	0	0	11	2	36	0	0	0	0	0	2
16S_ASV_1056	0	0	0	0	0	0	2	2	5	14	3	32	0	1	1	7	8	1	0	0	0	1	1	2
16S_ASV_1057	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	1	0	0	0	0	16	56	1
16S_ASV_1058	0	0	0	0	0	0	1	0	0	6	5	11	1	3	2	2	21	0	0	0	0	18	8	2
16S_ASV_1059	44	3	8	0	2	0	0	0	0	0	0	0	4	0	0	0	1	0	11	1	5	0	0	0
16S_ASV_1060	0	3	0	5	4	0	0	1	0	4	1	1	0	6	1	6	3	0	0	4	5	25	3	7
16S_ASV_1061	0	2	0	0	0	0	0	0	0	15	7	8	1	0	17	0	0	0	1	0	0	9	4	15
16S_ASV_1062	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	73	0	0	0	0	0	0
16S_ASV_1063	0	0	0	0	0	0	5	4	10	57	0	0	0	0	0	0	0	0	0	0	0	3	0	0
16S_ASV_1064	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	4	6	0	0	2	34	22	6
16S_ASV_1065	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	7	0	1	3	0	0	9	31	24
16S_ASV_1066	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	5	0	0	0	2	3	66
16S_ASV_1067	0	0	0	0	0	0	5	12	3	1	1	0	0	0	0	31	13	3	0	2	0	5	2	0
16S_ASV_1068	0	0	0	0	0	0	1	6	3	1	0	0	0	0	0	51	3	5	1	0	0	0	0	7
16S_ASV_1069	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	17	23	0	0	0	3	15	10
16S_ASV_1070	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	4	19	0	0	0	5	41	1
16S_ASV_1071	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	18	34	22
16S_ASV_1072	17	30	10	0	14	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	1
16S_ASV_1073	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	33	0	0	3	0	1	26	10	2
16S_ASV_1074	0	0	0	0	2	1	2	4	1	0	0	0	0	0	0	29	14	17	0	1	0	4	0	2
16S_ASV_1075	0	0	0	0	0	1	7	26	39	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
16S_ASV_1076	0	0	0	0	0	0	1	0	7	45	3	20	0	0	0	0	0	0	0	0	0	1	0	0
16S_ASV_1077	0	0	0	0	0	0	0	2	7	2	2	1	9	24	5	0	0	0	13	3	9	0	0	0
16S_ASV_1078	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	6	17	0	0	0	0	17	22	8
16S_ASV_1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	46	0	1	0	0	0	5
16S_ASV_1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	16	0	0	0	12	2	5
16S_ASV_1081	8	9	0	16	3	1	0	2	3	1	2	3	12	0	0	6	5	3	0	0	0	0	2	0
16S_ASV_1082	0	3	0	3	2	0	1	3	3	9	3	11	3	2	7	0	16	10	0	0	0	0	0	0
16S_ASV_1083	0	0	0	1	1	0	0	0	0	1	0	0	2	3	0	7	14	2	3	0	0	7	18	17
16S_ASV_1084	0	0	0	0	1	6	1	0	1	1	1	1	1	0	0	1	11	33	0	0	0	2	0	16
16S_ASV_1085	0	0	0	0	0	0	36	25	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1086	0	0	0	0	0	0	5	0	0	8	0	0	1	0	0	0	7	5	0	0	4	5	5	36
16S_ASV_1087	0	0	0	0	0	0	1	2	0	4	0	0	2	12	14	3	2	0	16	1	11	5	2	1
16S_ASV_1088	0	0	0	0	0	0	0	1	0	0	1	4	2	19	24	2	3	2	0	1	1	14	0	2
16S_ASV_1089	0	0	0	0	0	0	0	0	0	21	8	4	11	0	19	3	7	2	0	1	0	0	0	0
16S_ASV_1090	0	0	0	0	0	0	0	0	0	2	4	14	0	0	0	0	3	0	0	0	0	15	19	19
16S_ASV_1091	61	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	1	2	1
16S_ASV_1092	1	0	0	0	0	0	0	0	0	0	2	5	0	0	0	3	29	0	0	0	0	18	10	7
16S_ASV_1093	0	0	0	1	1	0	0	0	2	0	11	0	0	0	0	26	6	25	0	1	0	1	0	1
16S_ASV_1094	0	0	0	0	2	0	2	0	0	0	0	4	3	20	26	0	2	1	0	0	2	13	0	0
16S_ASV_1095	0	0	0	0	1	0	0	3	1	7	6	0	0	0	0	9	6	13	0	0	0	9	14	6
16S_ASV_1096	0	0	0	0	0	0	23	28	21	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
16S_ASV_1097	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44	0	30	0	0	0
16S_ASV_1098	0	0	0	0	0	0	0	0	0	34	0	36	0	0	0	0	0	2	0	0	0	3	0	0
16S_ASV_1099	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	8	5	1	0	0	18	30	6
16S_ASV_1100	9	36	1	18	0	0	0	1	6	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
16S_ASV_1101	7	0	0	0	0	0	0	0	1	0	0	46	3	0	0	0	17	0	0	0	0	0	0	0
16S_ASV_1102	0	0	0	0	1	0	4	3	21	0	0	0	0	0	0	1	34	10	0	0	0	0	0	0
16S_ASV_1103	0	0	0	0	0	12	0	0	0	11	4	2	3	13	0	2	0	0	0	0	0	9	18	0
16S_ASV_1104	0	0	0	0	0	2	38	16	14	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
16S_ASV_1105	0	0	0	0	0	1	12	3	18	10	2	3	19	0	1	1	0	2	0	0	0	0	0	2
16S_ASV_1106	0	0	0	0	0	0	15	14	25	0	0	0	0	0	0	12	4	1	0	0	2	0	1	0
16S_ASV_1107	0	0	0	0	0	0	1	1	5	32	0	6	0	1	1	5	4	5	1	0	0	5	0	7
16S_ASV_1108	0	0	0	0	0	0	1	2	2	6	21	1	0	0	0	8	9	0	0	1	0	2	13	8
16S_ASV_1109	0	0	0	0	0	0	0	0	0	3	7	5	0	0	0	2	22	0	0	0	0	5	20	10
16S_ASV_1110	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	27	2	42
16S_ASV_1111	1	0	0	0	0	0	1	10	3	0	0	1	0	3	0	47	5	1	0	1	0	0	0	0
16S_ASV_1112	0	0	0	2	0	2	0	0	1	0	4	15	0	0	0	2	33	0	2	0	0	6	3	3
16S_ASV_1113	0	0	0	1	0	0	0	1	2	6	0	0	51	1	0	0	0	0	8	0	3	0	0	0
16S_ASV_1114	0	0	0	0	0	0	3	16	14	0	1	0	5	0	0	4	5	2	0	0	3	10	9	1
16S_ASV_1115	0	0	0	0	0	0	0	1	0	0	6	8	0	0	0	1	8	4	0	0	0	17	12	16
16S_ASV_1116	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	13	0	0	1	0	15	21	20
16S_ASV_1117	9	0	4	0	7	0	0	0	1	2	1	0	0	24	0	2	6	6	4	0	3	2	0	1
16S_ASV_1118	0	2	4	0	0	0	0	0	0	0	6	8	0	0	2	30	0	15	2	0	0	0	1	2
16S_ASV_1119	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	22	0	48	0	0	0
16S_ASV_1120	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	27	31	10
16S_ASV_1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	1	1	0	0	11	32	15
16S_ASV_1122	2	0	0	2	0	0	0	0	0	5	0	0	4	0	0	5	0	2	1	0	5	0	38	7
16S_ASV_1123	0	0	0	8	1	0	0	1	2	2	0	0	0	0	0	41	12	1	0	0	0	2	1	0
16S_ASV_1124	0	0	0	0	0	1	5	2	9	1	6	0	0	0	0	3	11	22	0	2	0	5	0	4
16S_ASV_1125	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	10	9	2	0	0	1	26	14	4
16S_ASV_1126	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	42	2	10	4	1	7
16S_ASV_1127	0	0	0	0	0	0	0	0	0	8	1	8	0	0	0	1	4	6	0	0	0	31	8	4
16S_ASV_1128	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	6	3	0	0	0	24	28	6
16S_ASV_1129	4	1	8	3	10	0	0	0	0	7	7	3	10	1	1	0	0	0	0	3	0	2	5	5
16S_ASV_1130	0	8	0	11	0	0	0	0	1	0	0	1	8	8	10	0	3	0	0	3	6	9	2	0
16S_ASV_1131	0	0	0	1	0	0	1	0	2	0	0	13	0	0	0	10	20	9	0	0	3	0	11	0
16S_ASV_1132	0	0	0	0	0	0	0	2	0	16	20	6	0	0	0	3	6	1	0	0	0	13	2	1
16S_ASV_1133	0	0	0	0	0	0	0	0	2	12	6	8	0	0	0	0	11	0	0	0	0	17	8	6
16S_ASV_1134	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	13	6	0	0	0	27	9	10
16S_ASV_1135	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	4	3	0	0	0	0	23	21	14
16S_ASV_1136	11	0	0	2	13	20	1	0	4	0	0	0	3	6	0	3	0	1	5	0	0	0	0	0
16S_ASV_1137	7	2	3	0	1	19	0	0	0	7	4	0	4	3	3	1	1	0	0	10	2	0	2	0
16S_ASV_1138	0	0	0	0	0	62	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0
16S_ASV_1139	0	0	0	0	0	0	19	26	21	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
16S_ASV_1140	0	0	0	0	0	0	2	0	1	2	9	1	0	0	0	4	10	0	0	0	0	9	25	6
16S_ASV_1141	0	0	0	0	0	0	2	0	0	22	31	10	1	0	0	0	0	0	0	3	0	0	0	0
16S_ASV_1142	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	23	35	0	0	0	1	0	3
16S_ASV_1143	0	0	0	0	0	0	0	0	0	4	5	34	0	0	0	11	3	10	0	0	0	1	1	0
16S_ASV_1144	0	0	0	0	0	0	0	0	0	4	3	1	0	1	0	0	5	0	0	4	0	23	8	20
16S_ASV_1145	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	8	43	16
16S_ASV_1146	1	0	0	0	0	2	0	1	0	0	0	0	0	5	0	0	0	1	22	7	25	0	0	4
16S_ASV_1147	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	30	28	4	0	0	1	0	0	0
16S_ASV_1148	0	0	0	0	0	65	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1149	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	12	42	9	1	0	0	0	0	0
16S_ASV_1150	0	0	0	0	0	0	28	12	17	1	0	0	1	0	0	1	8	0	0	0	0	0	0	0
16S_ASV_1151	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	10	0	0	0	1	4	24	23
16S_ASV_1152	0	0	0	0	0	0	1	0	0	0	6	0	0	9	0	1	0	0	2	1	0	16	31	1
16S_ASV_1153	0	0	0	0	0	0	1	0	3	0	0	4	9	5	0	0	0	0	41	0	4	0	0	1
16S_ASV_1154	0	0	0	0	0	0	1	1	0	14	10	33	3	0	0	0	0	0	0	0	0	1	2	3
16S_ASV_1155	0	0	0	0	0	0	0	7	3	0	3	0	0	0	0	6	44	3	0	1	0	0	0	1
16S_ASV_1156	0	0	0	0	0	0	0	2	1	3	5	5	0	0	0	1	15	0	2	5	1	8	13	7
16S_ASV_1157	0	0	0	0	0	0	0	1	1	13	33	16	0	0	0	0	0	0	0	0	0	0	3	1
16S_ASV_1158	0	0	0	0	0	0	0	1	0	59	6	1	0	1	0	0	0	0	0	0	0	0	0	0
16S_ASV_1159	0	0	0	0	0	0	0	0	0	6	1	3	0	2	0	1	5	7	0	0	0	10	20	13
16S_ASV_1160	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	2	0	15	37	7
16S_ASV_1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	21	24	16
16S_ASV_1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	36	0
16S_ASV_1163	7	0	2	2	0	0	3	0	0	2	5	6	9	0	0	7	2	0	0	0	0	8	12	2
16S_ASV_1164	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	2	0	0	0	22	2	33
16S_ASV_1165	0	0	0	2	0	0	3	1	4	0	1	0	2	0	0	22	9	11	0	4	0	0	0	8
16S_ASV_1166	0	0	0	0	55	4	1	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0
16S_ASV_1167	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	14	39	0	0	0	0	0	11
16S_ASV_1168	0	0	0	0	1	0	13	31	19	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
16S_ASV_1169	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	21	11	23	1	0	2	0	3	0
16S_ASV_1170	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	5	0	41	5	0	1	0	5	6
16S_ASV_1171	0	0	0	0	0	0	3	26	23	1	5	2	1	0	0	0	0	0	6	0	0	0	0	0
16S_ASV_1172	0	0	0	0	0	0	0	3	3	0	21	0	0	0	0	0	0	0	0	0	38	0	2	0
16S_ASV_1173	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	11	3	0	0	0	0	11	15	23
16S_ASV_1174	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	4	14	43
16S_ASV_1175	12	0	0	6	45	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
16S_ASV_1176	3	0	0	0	1	0	1	6	2	5	6	0	2	6	0	3	4	9	4	0	0	7	2	5
16S_ASV_1177	0	0	1	0	0	0	1	0	1	0	3	7	0	0	0	0	0	0	26	4	23	0	0	0
16S_ASV_1178	0	0	0	1	1	0	17	18	24	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
16S_ASV_1179	0	0	0	1	0	0	9	8	6	0	0	0	0	0	0	31	2	1	7	0	0	1	0	0
16S_ASV_1180	0	0	0	1	0	0	1	0	2	5	0	11	0	0	0	11	13	12	0	1	0	2	0	7
16S_ASV_1181	0	0	0	0	1	0	0	0	1	5	9	11	0	0	0	2	14	1	0	0	0	4	10	8
16S_ASV_1182	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	11	4	8	23	1	14	0	0	0
16S_ASV_1183	0	0	0	0	0	1	0	0	0	3	3	13	1	0	0	1	1	4	0	1	0	7	21	10
16S_ASV_1184	0	0	0	0	0	0	13	20	23	0	0	0	0	0	0	7	0	2	0	0	0	0	0	1
16S_ASV_1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	25	32	7
16S_ASV_1186	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	56	0	1	0	0	0	0
16S_ASV_1187	1	6	6	0	2	0	3	3	0	1	0	17	0	0	0	1	3	2	3	2	1	10	1	3
16S_ASV_1188	0	0	0	37	0	21	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4
16S_ASV_1189	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	5	5	0	0	0	2	0	46
16S_ASV_1190	0	0	0	0	3	0	15	20	23	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
16S_ASV_1191	0	0	0	0	1	0	0	0	0	1	0	10	0	0	2	0	8	0	0	0	0	9	21	13
16S_ASV_1192	0	0	0	0	0	0	26	28	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16S_ASV_1193	0	0	0	0	0	0	0	2	0	11	9	0	0	3	0	0	0	0	0	0	0	11	18	11
16S_ASV_1194	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	8	0	0	3	0	2	1	32
16S_ASV_1195	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	57
16S_ASV_1196	1	1	0	0	3	0	2	8	9	35	0	2	1	1	0	0	0	0	0	0	0	0	0	1
16S_ASV_1197	0	0	0	5	0	18	1	0	0	2	4	4	1	6	12	3	0	1	0	2	0	0	3	2
16S_ASV_1198	0	0	0	0	0	0	19	17	19	3	0	0	1	1	0	0	0	0	0	4	0	0	0	0
16S_ASV_1199	0	0	0	0	0	0	2	0	3	11	0	0	0	0	0	13	4	31	0	0	0	0	0	0
16S_ASV_1200	0	0	0	0	0	0	1	6	2	10	4	10	9	0	0	12	9	1	0	0	0	0	0	0
16S_ASV_1201	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	25	30	3
16S_ASV_1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	45	14	0	0	0	3	0	0
16S_ASV_1203	1	4	1	0	20	0	2	1	5	3	0	0	13	1	1	0	0	0	6	5	0	0	0	0
16S_ASV_1204	0	0	0	2	0	0	4	5	4	20	0	0	0	1	0	14	9	0	0	4	0	0	0	0
16S_ASV_1205	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	17	26	17	0	0	0	0	0	1
16S_ASV_1206	0	0	0	1	1	0	5	40	14	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
16S_ASV_1207	0	0	0	0	0	1	0	2	1	0	15	2	0	0	0	0	0	0	0	0	0	15	10	17
16S_ASV_1208	0	0	0	0	0	1	11	22	28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16S_ASV_1209	0	0	0	0	0	0	5	0	1	11	13	6	1	0	0	1	0	5	1	0	0	8	8	3
16S_ASV_1210	0	0	0	0	0	0	1	3	0	7	7	2	0	0	0	0	2	11	0	1	0	13	14	2
16S_ASV_1211	0	0	0	0	0	0	0	2	0	25	11	4	0	0	0	5	2	2	1	0	0	7	1	3
16S_ASV_1212	0	0	0	0	0	0	0	0	0	15	26	1	0	0	0	0	0	0	0	0	0	1	12	8
16S_ASV_1213	0	0	0	0	0	0	0	0	0	12	4	26	0	0	0	1	8	0	1	0	0	1	5	5
16S_ASV_1214	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	13	6	0	2	0	13	10	16
16S_ASV_1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	34	15	12
16S_ASV_1216	21	5	15	0	10	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	4	2
16S_ASV_1217	1	0	0	4	2	27	1	2	1	2	0	8	0	0	0	0	5	2	1	0	1	2	3	0
16S_ASV_1218	0	1	0	1	0	0	0	2	0	1	2	1	12	16	0	0	0	5	8	2	8	0	3	0
16S_ASV_1219	0	0	2	0	0	0	3	0	0	4	1	5	0	0	0	0	0	23	0	0	0	7	5	12
16S_ASV_1220	0	0	0	0	4	55	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1221	0	0	0	0	3	0	2	1	2	0	1	0	0	0	0	8	12	8	0	0	0	10	8	7
16S_ASV_1222	0	0	0	0	1	34	0	0	1	3	5	2	2	5	0	0	0	0	1	0	3	1	1	3
16S_ASV_1223	0	0	0	0	1	1	2	0	4	8	0	25	0	0	0	13	2	5	0	0	0	0	0	1
16S_ASV_1224	0	0	0	0	1	0	15	28	14	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0
16S_ASV_1225	0	0	0	0	0	1	15	17	20	0	1	3	0	0	0	0	0	0	2	3	0	0	0	0
16S_ASV_1226	0	0	0	0	0	1	2	5	1	0	0	4	0	0	0	6	10	10	3	0	1	8	0	11
16S_ASV_1227	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	1	0	0	2	0	0	12	18	18
16S_ASV_1228	0	0	0	0	0	0	1	0	1	31	1	4	11	9	4	0	0	0	0	0	0	0	0	0
16S_ASV_1229	0	0	0	0	0	0	0	0	0	21	4	3	0	0	0	1	9	0	0	0	0	14	9	1
16S_ASV_1230	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	3	0	0	1	24	3	24
16S_ASV_1231	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	14	0	0	0	0	33	5	5
16S_ASV_1232	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	13	1	0	1	0	12	12	8
16S_ASV_1233	48	3	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	2	0
16S_ASV_1234	0	0	0	5	0	1	4	4	4	0	0	3	0	0	0	28	11	1	0	0	0	0	0	0
16S_ASV_1235	0	0	0	0	0	57	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
16S_ASV_1236	0	0	0	0	0	0	28	8	14	0	0	0	0	0	0	3	4	4	0	0	0	0	0	0
16S_ASV_1237	0	0	0	0	0	0	4	2	7	0	6	0	0	0	0	20	4	0	9	0	0	3	0	6
16S_ASV_1238	0	0	0	0	0	0	1	2	0	1	7	4	0	0	0	2	0	0	0	4	0	5	26	9
16S_ASV_1239	0	0	0	0	0	0	0	1	0	7	7	11	0	0	0	8	14	4	0	0	1	0	4	4
16S_ASV_1240	0	0	0	0	0	0	0	0	2	6	14	10	0	0	0	2	8	5	0	0	0	5	7	2
16S_ASV_1241	0	0	0	0	0	0	0	0	0	19	8	32	0	0	0	0	0	1	0	0	0	0	0	1
16S_ASV_1242	32	8	4	1	4	0	0	0	2	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1243	6	0	1	3	4	0	0	1	0	5	9	6	1	2	0	0	0	0	0	5	0	4	2	11
16S_ASV_1244	3	0	0	0	2	0	1	4	2	7	22	4	6	0	0	1	0	4	0	1	1	1	1	0
16S_ASV_1245	0	0	0	1	0	0	0	0	0	2	0	1	0	7	0	9	5	0	0	0	0	9	13	13
16S_ASV_1246	0	0	0	0	21	0	0	0	0	1	0	0	4	7	6	0	3	0	1	1	6	8	0	2
16S_ASV_1247	0	0	0	0	1	2	0	0	0	0	0	0	5	0	4	1	32	5	3	1	2	0	3	1
16S_ASV_1248	0	0	0	0	0	0	24	20	13	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16S_ASV_1249	0	0	0	0	0	0	12	19	27	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
16S_ASV_1250	0	0	0	0	0	0	8	4	2	0	0	0	0	0	0	11	22	10	0	0	0	3	0	0
16S_ASV_1251	0	0	0	0	0	0	1	1	1	0	0	0	1	12	7	0	4	3	0	5	10	14	0	1
16S_ASV_1252	0	0	0	0	0	0	0	0	1	0	1	3	21	0	0	0	0	0	13	3	17	1	0	0
16S_ASV_1253	0	0	0	0	0	0	0	0	0	20	11	7	3	0	0	0	0	0	0	2	0	8	6	3
16S_ASV_1254	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	5	11	2	1	0	1	2	21	5
16S_ASV_1255	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	12	15
16S_ASV_1256	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	6	0	15	3	20	10
16S_ASV_1257	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28	18	6	2	0	1	1	1	1
16S_ASV_1258	0	0	0	1	0	0	0	0	0	1	12	1	0	0	0	1	1	0	12	0	27	0	3	0
16S_ASV_1259	0	0	0	0	2	2	1	2	5	3	0	0	0	0	0	6	14	21	0	0	0	2	0	1
